Label	Distance	Astro_m1	Astro_m2	Endo_m1	Endo_m2	Inter_m1	Inter_m2	Micro_m1	Micro_m2	Oligo_m1	Oligo_m2	CA1_m1	CA1_m2	SS_m1	SS_m2	All_m1	All_m2
Xkr4	33	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
Rp1	48997	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Sox17	7	2	1	26	15	0	0	3	0	8	2	9	0	0	1	48	19
Rgs20	50892	3	0	0	0	0	0	0	0	2	0	2	0	5	0	12	0
ENSMUST00000159618	1	0	0	0	0	2	0	0	1	6	3	14	5	4	2	26	11
Sntg1	369	0	0	1	0	27	4	0	0	6	1	68	5	18	2	120	12
Mybl1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vcpip1	100	0	0	1	0	6	0	0	1	4	0	15	0	1	0	27	1
Snhg6	10	34	0	29	2	114	16	12	0	359	9	452	61	157	14	1157	102
Ppp1r42	1	5	0	0	0	0	1	0	0	3	2	1	0	3	1	12	4
Cops5	1	47	1	55	2	338	18	16	1	650	32	897	52	361	18	2364	124
Arfgef1	43	0	0	0	1	0	1	0	0	1	2	4	0	1	0	6	4
Slco5a1	623	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Ncoa2	1566	1	0	0	0	3	2	0	0	3	1	1	0	0	1	8	4
Lactb2	3	6	0	8	0	14	0	2	0	39	0	50	0	9	0	128	0
Eya1	5355	0	1	0	0	5	0	0	0	8	0	5	0	0	0	18	1
Rpl7	1	112	0	230	0	323	0	114	0	1235	0	1103	0	404	0	3521	0
Stau2	803	3	0	0	1	24	11	0	1	11	3	86	14	31	12	155	42
Ube2w	131	20	0	50	0	177	0	9	0	242	0	847	0	297	0	1642	0
Tceb1	132	105	15	101	15	537	49	35	11	965	243	1813	89	860	66	4416	488
Jph1	122	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0
Defb44-ps	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pkhd1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rims1	296529	0	0	0	0	2	1	0	0	0	0	1	1	0	1	3	3
Ogfrl1	1	0	0	1	0	1	0	0	1	1	1	1	1	1	2	5	5
Smap1	30356	1	0	3	0	5	1	0	0	5	0	40	5	15	4	69	10
Fam135a	6	0	0	1	0	4	1	0	0	8	3	23	2	10	0	46	6
Col19a1	4	0	0	0	0	15	14	0	0	1	1	2	0	1	4	19	19
Bai3	1	0	1	0	0	4	8	0	0	0	2	42	21	8	12	54	44
Phf3	176	7	0	2	0	7	0	0	0	25	0	44	1	9	1	94	2
Ptp4a1	192	0	0	0	0	0	1	0	0	19	7	0	0	0	1	19	9
4931428L18Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prim2	1	11	0	4	0	13	0	1	0	41	1	24	2	6	0	100	3
Bag2	138	4	0	4	0	19	0	0	0	10	0	48	0	19	0	104	0
Zfp451	1	1	0	2	1	15	7	0	0	19	8	29	3	13	6	79	25
Bend6	26	0	0	0	0	13	2	1	0	0	0	20	2	8	0	42	4
uc007aou.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prss40	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam168b	17	0	0	0	0	1	0	0	0	0	1	1	0	0	0	2	1
Uggt1	65	0	0	0	0	1	0	1	0	5	0	5	0	2	3	14	3
4632411B12Rik	10	0	0	0	0	1	0	0	0	2	0	9	1	3	0	15	1
Lman2l	2	0	0	2	0	5	0	1	0	4	1	7	0	1	0	20	1
Sema4c	652	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Fam178b	89755	0	0	0	0	0	0	0	0	24	0	0	0	0	0	24	0
Tmem131	66	1	0	0	0	0	0	0	0	1	0	4	0	3	0	9	0
6330578E17Rik	16	3	0	1	1	9	0	1	0	32	6	50	8	14	6	110	21
Mgat4a	4763	1	0	1	0	2	0	0	0	5	0	15	0	5	0	29	0
Tsga10	223	4	2	3	1	13	3	2	0	44	1	48	32	11	5	125	44
Lyg2	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Txndc9	265	17	4	25	2	56	33	8	1	256	67	310	108	110	52	782	267
Aff3	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chst10	72	4	1	0	0	5	0	0	0	1	0	5	1	2	0	17	2
Tbc1d8	1	0	1	0	0	1	0	0	0	0	0	1	1	1	0	3	2
Rnf149	24	0	0	0	0	3	0	0	0	3	0	7	0	0	0	13	0
Creg2	170	0	0	0	0	5	3	0	0	0	1	40	43	8	3	53	50
Rfx8	10	0	0	2	0	1	0	0	0	0	1	0	0	0	0	3	1
2610017I09Rik	1672	175	32	18	11	469	128	7	2	424	294	4297	1000	593	286	5983	1753
Tgfbrap1	6123	0	0	0	0	5	0	1	0	5	1	7	0	3	0	21	1
Fhl2	1	1	0	7	0	8	1	1	0	12	1	360	38	113	8	502	48
Uxs1	5	4	0	3	0	5	1	1	0	14	3	54	6	16	4	97	14
1700029F09Rik	15	3	0	4	5	10	10	3	2	33	19	60	25	23	19	136	80
4832428D23Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc40a1	909	0	0	11	0	0	0	9	0	2	0	1	0	3	0	26	0
Slc39a10	34	8	0	18	8	79	6	4	0	71	8	640	86	307	86	1127	194
Obfc2a	463	0	0	1	0	10	0	3	0	16	0	53	1	10	0	93	1
Myo1b	19814	0	0	20	0	1	0	0	0	8	0	2	0	3	0	34	0
Gls	42276	0	0	0	0	1	0	0	0	0	0	2	0	0	0	3	0
Nab1	73	0	0	8	0	3	0	0	0	7	0	4	0	4	0	26	0
Mfsd6	131	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
Inpp1	151	5	0	11	2	19	6	2	0	10	3	90	13	25	3	162	27
1700019D03Rik	4	0	0	0	0	2	1	0	0	3	4	4	3	2	2	11	10
