DATUM;PASSNR;VVLEG;TAXINR;INKÖRT;KREDITER;UTLÄGG;ATT REDOVISA;EJ LÖNEGRUND EX MOMS;BUD;PERSONTRSP;UTRIKES;STARTTID;SLUTTID;INLOGGAD TID;RASTTID;TOTAL KM;BETALDA KM;OBETALDA KM;KM MELLAN PASS;ANTAL PÅSLAG;ANTAL BOM;ANTAL AVBEST
14-09-01;      2122;     344650;        587;     3708,00;     3712,00;        0,00;       -4,00;        0,00;        0,00;     3708,00;        0,00;0445;1430;0945;0000; 325,8; 203,2; 122,6;   9,6;            11;          0;          0;
14-09-01;      2123;     661121;        587;     2010,00;     1607,00;        0,00;      403,00;       39,64;        0,00;     2010,00;        0,00;1447;0040;0953;0000; 146,2;  56,8;  89,4;  18,5;             8;          0;          0;
14-09-02;      2124;     344650;        587;     4156,00;     3727,00;        0,00;      429,00;       19,82;        0,00;     4156,00;        0,00;0443;1500;1017;0000; 305,5; 182,6; 122,9;   2,6;            12;          0;          0;
14-09-02;      2125;     661121;        587;     2261,00;     2281,00;        0,00;      -20,00;       95,30;        0,00;     2261,00;        0,00;1511;0109;0958;0000; 165,8;  69,7;  96,1;   8,9;            10;          0;          1;
14-09-03;      2126;     344650;        587;     3296,00;     3310,00;        0,00;      -14,00;        0,00;        0,00;     3296,00;        0,00;0447;1450;1003;0000; 193,2; 130,6;  62,6;   3,0;            13;          0;          0;
14-09-03;      2127;     661121;        587;     2759,00;     2810,00;        0,00;      -51,00;        0,00;        0,00;     2759,00;        0,00;1508;0052;0944;0000; 197,1; 140,3;  56,8;  16,0;             8;          0;          0;
14-09-04;      2128;     344650;        587;     2924,00;     2998,00;        0,00;      -74,00;        0,00;        0,00;     2924,00;        0,00;0445;1503;1018;0000; 318,2; 158,9; 159,3;   1,1;            11;          0;          0;
14-09-04;      2129;     661121;        587;     4130,00;     4268,00;        0,00;     -138,00;        0,00;        0,00;     4130,00;        0,00;1511;0026;0915;0000; 307,3; 196,5; 110,8;   9,0;            10;          1;          0;
14-09-05;      2130;     344650;        587;     4186,00;     4191,00;        0,00;       -5,00;       19,82;        0,00;     4186,00;        0,00;0447;1440;0953;0000; 278,9; 164,7; 114,2;   2,0;            12;          0;          0;
14-09-05;      2131;     661121;        587;     4031,00;     3942,00;        0,00;       89,00;       45,30;        0,00;     4031,00;        0,00;1447;0059;1012;0000; 234,6; 157,4;  77,2;   6,0;            12;          0;          0;
14-09-06;      2132;     661121;        587;     4731,00;     4874,00;        0,00;     -143,00;        0,00;        0,00;     4731,00;        0,00;1210;0020;1210;0000; 342,7; 231,0; 111,7;   8,0;            13;          0;          0;
14-09-07;      2133;     661121;        587;     4609,00;     4670,00;        0,00;      -61,00;       90,60;        0,00;     4609,00;        0,00;1140;2317;1137;0000; 283,6; 225,9;  57,7;  16,0;             9;          1;          0;
14-09-08;      2134;     344650;        587;     3420,00;     3333,00;        0,00;       87,00;        0,00;        0,00;     3420,00;        0,00;0446;1500;1014;0000; 222,0; 137,9;  84,1;  15,2;            13;          0;          0;
14-09-08;      2135;     661121;        587;     2469,00;     2504,00;        0,00;      -35,00;        0,00;        0,00;     2469,00;        0,00;1519;0026;0907;0000; 153,8;  68,5;  85,3;  25,2;            12;          0;          1;
14-09-09;      2136;     344650;        587;     2890,00;     2790,00;        0,00;      100,00;        0,00;        0,00;     2890,00;        0,00;0447;1500;1013;0000; 302,8; 160,9; 141,9;   1,9;            10;          0;          0;
14-09-09;      2137;     661121;        587;     2884,00;     2957,00;        0,00;      -73,00;       75,48;        0,00;     2884,00;        0,00;1515;0008;0853;0000; 221,9; 140,9;  81,0;  12,2;             7;          0;          0;
14-09-10;      2138;     344650;        587;     3259,00;     3050,00;        0,00;      209,00;        0,00;        0,00;     3259,00;        0,00;0435;1500;1025;0000; 185,9; 108,6;  77,3;   1,6;            17;          1;          0;
14-09-10;      2139;     661121;        587;     3027,00;     3075,00;        0,00;      -48,00;       65,12;        0,00;     3027,00;        0,00;1511;0141;1030;0034; 197,3;  90,4; 106,9;   4,5;             9;          1;          0;
14-09-11;      2140;     344650;        587;     3419,00;     3441,00;        0,00;      -22,00;       19,82;        0,00;     3419,00;        0,00;0447;1525;1038;0000; 266,3; 152,4; 113,9;   8,2;            13;          0;          0;
14-09-11;      2141;     661121;        587;     1980,00;     1980,00;        0,00;        0,00;       19,82;        0,00;     1980,00;        0,00;1831;0113;0642;0000; 126,0;  60,6;  65,4;  17,5;             5;          0;          0;
14-09-12;      2142;     344650;        587;     3844,00;     3856,00;        0,00;      -12,00;        0,00;        0,00;     3844,00;        0,00;0446;1501;1015;0000; 247,2; 155,0;  92,2;   8,5;            14;          0;          0;
14-09-12;      2143;     661121;        587;     3555,00;     3463,00;        0,00;       92,00;        0,00;        0,00;     3555,00;        0,00;1519;0112;0953;0000; 252,4; 211,0;  41,4;  12,1;            10;          0;          1;
14-09-13;      2144;     661121;        587;     5116,00;     5270,00;        0,00;     -154,00;       45,30;        0,00;     5116,00;        0,00;1215;0033;1218;0000; 272,6; 200,5;  72,1;  17,0;            15;          0;          1;
14-09-14;      2145;     661121;        587;     4714,00;     3736,00;        0,00;      978,00;       75,48;        0,00;     4714,00;        0,00;1145;2252;1107;0000; 322,6; 284,6;  38,0;  12,0;            12;          0;          1;
14-09-15;      2146;     344650;        587;     2943,00;     2879,00;        0,00;       64,00;        0,00;        0,00;     2943,00;        0,00;0448;1512;1024;0000; 299,1; 154,7; 144,4;   6,4;            12;          0;          0;
14-09-15;      2147;     661121;        587;     2450,00;     2550,00;        0,00;     -100,00;       65,12;        0,00;     2450,00;        0,00;1518;0021;0903;0000; 151,8;  65,8;  86,0;   2,1;             9;          0;          0;
14-09-01;      1551;     625792;       1414;     4066,00;     3756,00;        0,00;      310,00;        0,00;        0,00;     4066,00;        0,00;1107;2053;0946;0000; 251,3; 193,3;  58,0;   4,2;            10;          0;          0;
14-09-02;      1552;     625792;       1414;     4739,00;     4272,00;        0,00;      467,00;        0,00;        0,00;     4739,00;        0,00;0743;2116;1333;0000; 317,4; 263,0;  54,4;   2,8;            14;          0;          0;
14-09-03;      1553;     625792;       1414;     1002,00;     1114,00;        0,00;     -112,00;        0,00;        0,00;     1002,00;        0,00;0947;1223;0236;0000;  44,2;  38,6;   5,6;   9,6;             3;          0;          0;
14-09-03;      1554;     625792;       1414;      104,00;      104,00;        0,00;        0,00;        0,00;        0,00;      104,00;        0,00;1627;1834;0207;0000;   7,4;   4,2;   3,2;   0,1;             1;          0;          0;
14-09-04;      1555;     625792;       1414;        0,00;        0,00;        0,00;        0,00;        0,00;        0,00;        0,00;        0,00;0714;0722;0008;0000;   0,0;   0,0;   0,0;   0,0;             1;          0;          0;
14-09-04;      1556;     625792;       1414;     4233,00;     3483,00;        0,00;      750,00;        0,00;        0,00;     4233,00;        0,00;0810;1908;1058;0000; 140,5; 109,1;  31,4;  10,3;            17;          0;          0;
14-09-04;      1557;     820200;       1414;     1401,00;     1073,00;        0,00;      328,00;        0,00;        0,00;     1401,00;        0,00;1942;0227;0645;0000; 197,8;  64,7; 133,1;   9,8;             6;          0;          0;
14-09-05;      1558;     625792;       1414;      841,00;      868,00;        0,00;      -27,00;        0,00;        0,00;      841,00;        0,00;1420;1614;0154;0000;  48,2;  38,1;  10,1;   0,4;             2;          0;          0;
14-09-05;      1559;     751162;       1414;     3541,00;     3063,00;        0,00;      478,00;        0,00;        0,00;     3541,00;        0,00;1719;0435;1116;0023; 277,9; 175,2; 102,7;   7,2;            16;          1;          0;
14-09-06;      1560;     288340;       1414;     5906,00;     5097,00;        0,00;      809,00;        0,00;        0,00;     5906,00;        0,00;1419;0354;1335;0039; 376,9; 291,0;  85,9;  39,9;            24;          1;          0;
14-09-07;      1561;     625792;       1414;     1110,00;      595,00;        0,00;      515,00;        0,00;        0,00;     1110,00;        0,00;0916;1414;0458;0000;  93,7;  76,7;  17,0;  10,8;             2;          0;          0;
14-09-07;      1562;     288340;       1414;     2829,00;     2391,00;        0,00;      438,00;       39,64;        0,00;     2829,00;        0,00;1439;0054;1015;0000; 262,5; 148,9; 113,6;  15,4;            11;          0;          0;
14-09-09;      1563;     288340;       1414;     3882,00;     3404,00;        0,00;      478,00;        0,00;        0,00;     3882,00;        0,00;1219;0038;1219;0000; 295,5; 229,5;  66,0;  21,3;            15;          1;          1;
14-09-10;      1564;     625792;       1414;     3703,00;     3723,00;        0,00;      -20,00;       39,64;        0,00;     3703,00;        0,00;0538;1833;1255;0000; 204,6; 133,6;  71,0;  24,6;            16;          1;          0;
14-09-11;      1565;     625792;       1414;      590,00;      614,00;        0,00;      -24,00;        0,00;        0,00;      590,00;        0,00;0743;1103;0320;0000;  38,0;  20,9;  17,1;   8,4;             2;          0;          0;
14-09-11;      1566;     288340;       1414;     3675,00;     3259,00;        0,00;      416,00;        0,00;        0,00;     3675,00;        0,00;1333;0308;1335;0000; 226,2; 163,0;  63,2;   1,8;            16;          0;          0;
14-09-12;      1567;     625792;       1414;     2422,00;     1922,00;        0,00;      500,00;        0,00;        0,00;     2422,00;        0,00;0702;1544;0842;0000; 121,9;  87,2;  34,7;  10,8;             8;          0;          0;
14-09-12;      1568;     288340;       1414;     3704,00;     3598,00;        0,00;      106,00;       19,82;        0,00;     3704,00;        0,00;1602;0404;1202;0000; 186,9; 110,9;  76,0;   6,2;            19;          1;          0;
14-09-13;      1569;     625792;       1414;     1916,00;     1814,00;        0,00;      102,00;       25,48;        0,00;     1916,00;        0,00;0557;1203;0606;0000; 175,9; 136,4;  39,5;  23,4;             5;          1;          0;
14-09-13;      1570;     288340;       1414;     5301,00;     5034,00;        0,00;      267,00;        0,00;        0,00;     5301,00;        0,00;1343;0352;1409;0000; 318,8; 227,1;  91,7;  12,4;            20;          0;          0;
14-09-14;      1571;     288340;       1414;     4040,00;     3416,00;        0,00;      624,00;        0,00;        0,00;     4040,00;        0,00;1241;2243;1002;0000; 348,0; 252,3;  95,7;  13,5;            14;          1;          1;
14-09-01;      2416;     803111;       1514;     2895,00;     2334,00;        0,00;      561,00;        0,00;        0,00;     2895,00;        0,00;1358;0005;1007;0000; 223,7; 118,4; 105,3;  21,9;            12;          0;          0;
14-09-02;      2417;     803111;       1514;     3598,00;     3324,00;        0,00;      274,00;       45,30;        0,00;     3598,00;        0,00;1413;2247;0834;0000; 243,4; 163,9;  79,5;   3,8;            12;          0;          0;
14-09-03;      2418;     803111;       1514;     3546,00;     3065,00;        0,00;      481,00;       39,64;        0,00;     3546,00;        0,00;1316;0035;1119;0000; 251,0; 139,9; 111,1;   6,1;            12;          0;          0;
14-09-04;      2419;     657052;       1514;     2694,00;     2606,00;        0,00;       88,00;       63,23;        0,00;     2259,00;      435,00;0445;1505;1020;0000; 150,6; 121,2;  29,4;   7,1;            11;          0;          0;
14-09-04;      2420;     803111;       1514;     4208,00;     4326,00;        0,00;     -118,00;       39,64;        0,00;     4208,00;        0,00;1600;0454;1254;0001; 408,0; 220,5; 187,5;  23,5;            12;          0;          1;
14-09-05;      2421;     803111;       1514;     4334,00;     3963,00;        0,00;      371,00;       25,48;        0,00;     4334,00;        0,00;1613;0442;1229;0000; 401,2; 218,8; 182,4;  18,9;            19;          1;          1;
14-09-06;      2422;     803111;       1514;     4964,00;     4603,00;        0,00;      361,00;       25,48;        0,00;     4964,00;        0,00;1646;0404;1118;0000; 284,0; 203,4;  80,6;  52,5;            20;          1;          0;
14-09-13;      2423;     820200;       1514;     1632,00;     1493,00;        0,00;      139,00;        0,00;        0,00;     1632,00;        0,00;2132;0201;0429;0000;  87,7;  58,5;  29,2; 341,9;             7;          0;          0;
14-09-01;      1569;     819815;       1544;     3554,00;     2099,00;        0,00;     1455,00;       19,82;        0,00;     3554,00;        0,00;0417;1355;0938;0000; 335,8; 188,2; 147,6;  12,3;            11;          0;          0;
14-09-01;      1570;     819815;       1544;      520,00;      550,00;        0,00;      -30,00;        0,00;        0,00;      520,00;        0,00;1356;1546;0150;0000;  80,3;  42,3;  38,0;   0,0;             1;          0;          0;
14-09-01;      1571;     502769;       1544;     2397,00;     2445,00;        0,00;      -48,00;       50,96;        0,00;     2397,00;        0,00;1617;0033;0816;0000; 334,8; 163,3; 171,5;   9,5;             5;          0;          0;
14-09-02;      1572;     819815;       1544;     3331,00;     3343,00;        0,00;      -12,00;       19,82;        0,00;     3331,00;        0,00;0517;1548;1031;0000; 364,8; 204,3; 160,5;  10,2;             9;          1;          0;
14-09-02;      1573;     502769;       1544;     2243,00;     2243,00;        0,00;        0,00;       19,82;        0,00;     2243,00;        0,00;1740;0045;0705;0000; 309,1; 167,4; 141,7;  18,0;             4;          0;          0;
14-09-03;      1574;     819815;       1544;     3382,00;     2903,00;        0,00;      479,00;       63,23;        0,00;     3382,00;        0,00;0514;1556;1042;0000; 254,0; 128,8; 125,2;  25,9;            14;          0;          0;
14-09-03;      1575;     502769;       1544;     2952,00;     2952,00;        0,00;        0,00;       43,41;        0,00;     2952,00;        0,00;1627;0111;0844;0000; 381,9; 181,0; 200,9;   5,9;             8;          0;          0;
