DATUM;PASSNR;VVLEG;TAXINR;INKÖRT;KREDITER;UTLÄGG;ATT REDOVISA;EJ LÖNEGRUND EX MOMS;BUD;PERSONTRSP;UTRIKES;STARTTID;SLUTTID;INLOGGAD TID;RASTTID;TOTAL KM;BETALDA KM;OBETALDA KM;KM MELLAN PASS;ANTAL PÅSLAG;ANTAL BOM;ANTAL AVBEST
14-10-01;      1510;     855438;         25;     3185,00;     3215,00;        0,00;      -30,00;        0,00;        0,00;     3185,00;        0,00;0717;1543;0826;0000; 248,4; 224,7;  23,7;   0,0;             5;          0;          0;
14-10-02;      1511;     855438;         25;     3643,00;     3692,00;        0,00;      -49,00;        0,00;        0,00;     3643,00;        0,00;0714;1648;0934;0000; 220,5; 138,9;  81,6;  41,1;             9;          0;          0;
14-10-03;      1512;     855438;         25;     1342,00;     1342,00;        0,00;        0,00;        0,00;        0,00;     1342,00;        0,00;0710;1024;0314;0000; 102,8;  75,0;  27,8;   1,2;             4;          1;          0;
14-10-06;      1513;     855438;         25;     3324,00;     3175,00;        0,00;      149,00;        0,00;        0,00;     3324,00;        0,00;0716;1636;0920;0000; 180,2;  46,5; 133,7;  19,1;            10;          0;          1;
14-10-07;      1514;     855438;         25;     3914,00;     3705,00;        0,00;      209,00;       39,64;        0,00;     3914,00;        0,00;0710;1814;1104;0120; 228,0; 118,0; 110,0;   0,1;            12;          0;          0;
14-10-08;      1515;     855438;         25;     3470,00;     3523,00;        0,00;      -53,00;       19,82;        0,00;     3470,00;        0,00;0723;1741;1018;0000; 241,4; 103,6; 137,8;   1,7;            11;          0;          1;
14-10-09;      1516;     855438;         25;     4431,00;     4480,00;        0,00;      -49,00;       19,82;        0,00;     4431,00;        0,00;0713;1830;1117;0000; 289,9; 238,4;  51,5;   0,0;            14;          0;          0;
14-10-10;      1517;     855438;         25;     3778,00;     3673,00;        0,00;      105,00;       65,12;        0,00;     3778,00;        0,00;0715;1555;0840;0000; 206,2; 159,7;  46,5;   0,1;            12;          0;          1;
14-10-13;      1518;     855438;         25;     2822,00;     2836,00;        0,00;      -14,00;        0,00;        0,00;     2822,00;        0,00;0718;1635;0917;0000; 200,0; 158,8;  41,2;   0,8;             6;          0;          0;
14-10-14;      1519;     855438;         25;     3924,00;     3982,00;        0,00;      -58,00;       19,82;      507,00;     3417,00;        0,00;0713;1729;1016;0000; 229,8; 133,0;  96,8;   4,0;            10;          0;          0;
14-10-15;      1520;     855438;         25;     2606,00;     2606,00;        0,00;        0,00;        0,00;        0,00;     2606,00;        0,00;0731;1640;0909;0125; 211,2;  41,0; 170,2;   0,4;             4;          1;          0;



























