Datum;Passnr;VVLeg;Taxinr;Inkört;Krediter;Utlägg;Att redovisa;Ej lönegrund ex moms;Bud;Persontrp;Utrikes;Startid;Sluttid;Inloggad tid;Rasttid;Total km;Betalda km;Obetalda km;Km mellan pass;Antal påslag;Antal BOM;Antal Avbest
15-10-01;2243;274306;203;2804,00;2834,00;0,00;-30,00;0,00;0,00;2804,00;0,00;05:10:38;12:27:23;07:16;0;199,10;120,90;78,20;0,20;9;0;0
15-10-01;2244;167330;203;2715,00;2486,00;0,00;229,00;0,00;0,00;2715,00;0,00;12:27:52;19:41:19;07:13;0;119,20;73,20;46,00;0,00;13;1;0
15-10-02;2245;274306;203;2450,00;2481,00;0,00;-31,00;0,00;0,00;2450,00;0,00;04:58:30;12:09:11;07:10;0;191,30;95,70;95,60;0,00;12;0;2
15-10-02;2246;167330;203;2653,00;2336,00;0,00;317,00;0,00;0,00;2653,00;0,00;12:09:42;20:09:41;07:59;0;198,60;103,50;95,10;0,50;14;1;0
15-10-03;2247;167330;203;3049,00;1271,00;0,00;1778,00;0,00;0,00;3049,00;0,00;09:33:59;19:09:02;09:35;0;291,40;136,00;155,40;0,10;14;0;0
15-10-05;2248;167330;203;1145,00;566,00;0,00;579,00;0,00;0,00;1145,00;0,00;10:23:40;18:37:04;08:13;0;125,20;33,80;91,40;6,40;6;1;0
15-10-06;2249;167330;203;3377,00;3445,00;0,00;-68,00;0,00;0,00;3377,00;0,00;10:13:46;20:21:25;10:07;0;248,50;119,60;128,90;0,00;16;0;0
15-10-07;2250;167330;203;3696,00;3739,00;0,00;-43,00;0,00;0,00;3696,00;0,00;10:15:36;19:17:29;09:01;0;274,60;162,50;112,10;0,00;14;0;0
15-10-08;2251;274306;203;2431,00;2199,00;0,00;232,00;19,81;0,00;2431,00;0,00;05:30:49;11:59:51;06:29;0;114,40;68,00;46,40;0,00;9;0;0
15-10-08;2252;167330;203;2841,00;2575,00;0,00;266,00;0,00;0,00;2841,00;0,00;12:00:19;19:29:23;07:29;0;146,90;95,30;51,60;0,00;10;0;0
15-10-09;2253;274306;203;2012,00;1875,00;0,00;137,00;39,62;0,00;2012,00;0,00;05:10:25;12:01:32;06:51;0;107,10;52,70;54,40;0,20;9;0;1
15-10-09;2254;167330;203;2693,00;2559,00;0,00;134,00;0,00;0,00;2693,00;0,00;12:02:03;20:15:07;08:13;0;126,70;59,60;67,10;0,00;21;0;2
15-10-14;2255;274306;203;2444,00;2350,00;0,00;94,00;0,00;0,00;2444,00;0,00;05:07:56;11:35:23;06:27;0;165,50;107,10;58,40;0,20;10;0;0
15-10-14;2256;167330;203;3036,00;3036,00;0,00;0,00;0,00;0,00;3036,00;0,00;11:35:56;20:07:32;08:31;0;281,70;124,10;157,60;0,50;11;0;0
15-10-15;2257;274306;203;2245,00;1939,00;0,00;306,00;0,00;0,00;2245,00;0,00;05:39:42;11:42:30;06:02;0;128,80;74,30;54,50;0,20;10;0;0
15-10-15;2258;167330;203;2887,00;2912,00;0,00;-25,00;0,00;0,00;2887,00;0,00;11:42:59;20:40:04;08:57;0;270,50;128,50;142,00;0,00;14;0;1
