DATUM;PASSNR;VVLEG;TAXINR;INKÖRT;KREDITER;UTLÄGG;ATT REDOVISA;EJ LÖNEGRUND EX MOMS;BUD;PERSONTRSP;UTRIKES;STARTTID;SLUTTID;INLOGGAD TID;RASTTID;TOTAL KM;BETALDA KM;OBETALDA KM;KM MELLAN PASS;ANTAL PÅSLAG;ANTAL BOM;ANTAL AVBEST
13-01-03;       993;     642562;         25;        0,00;        0,00;        1,00;        0,00;        0,00;        0,00;        0,00;        0,00;1212;1453;0241;0103;  48,1;   0,0;  48,1;   4,1;             1;          0;          0;
13-01-07;       994;     855438;         25;      996,00;      996,00;        2,00;        0,00;        0,00;        0,00;      996,00;        0,00;0712;1544;0832;0316; 140,3;   0,2; 140,1;  44,2;             2;          0;          0;
13-01-08;       995;     855438;         25;      819,00;      828,00;        3,00;       -9,00;       18,87;        0,00;      819,00;        0,00;0706;1443;0737;0241;  91,6;  22,7;  68,9;   0,5;             3;          0;          0;
13-01-08;       996;     855438;         25;      543,00;      543,00;        0,00;        0,00;        0,00;        0,00;      543,00;        0,00;1444;1445;0001;0000;   0,1;   0,0;   0,1;   0,3;             1;          0;          0;
13-01-09;       997;     855438;         25;     2575,00;     2387,00;        0,00;      188,00;        0,00;        0,00;     2575,00;        0,00;0813;1721;0908;0146; 135,0;  63,1;  71,9;  38,6;            10;          0;          0;
13-01-10;       998;     855438;         25;     3229,00;     3235,00;        0,00;       -6,00;       18,87;        0,00;     3229,00;        0,00;0750;1740;0950;0016; 245,5; 136,4; 109,1;  23,2;             9;          1;          0;
13-01-11;       999;     855438;         25;     2186,00;     1800,00;        0,00;      386,00;       18,87;        0,00;     2186,00;        0,00;0809;1637;0828;0112; 107,0;  54,0;  53,0;  33,1;             8;          0;          0;
13-01-14;      1000;     855438;         25;     3022,00;     3029,00;        0,00;       -7,00;        0,00;        0,00;     3022,00;        0,00;0701;2109;1408;0258; 235,3;  73,6; 161,7; 139,8;            11;          0;          0;
13-01-15;      1001;     855438;         25;     2955,00;     2955,00;        0,00;        0,00;       18,87;        0,00;     2955,00;        0,00;0702;1647;0945;0153; 181,6; 116,8;  64,8;   0,5;            12;          0;          0;





























