C:\Users\christer\Anaconda3\python.exe C:/Lab/2018/022-ClockMirror/022.py
00:00:00 0
00:05:02 14/143
00:10:04 28/143
00:15:06 42/143
00:20:08 56/143
00:25:10 70/143
00:30:12 84/143
00:35:14 98/143
00:40:16 112/143
00:45:18 126/143
00:50:20 140/143
00:55:23 1/13
01:00:25 25/143
01:05:27 3/11
01:10:29 53/143
01:15:31 67/143
01:20:33 81/143
01:25:35 95/143
01:30:37 109/143
01:35:39 123/143
01:40:41 137/143
01:45:44 8/143
01:50:46 2/13
01:55:48 36/143
02:00:50 50/143
02:05:52 64/143
02:10:54 6/11
02:15:56 92/143
02:20:58 106/143
02:26:00 120/143
02:31:02 134/143
02:36:05 5/143
02:41:07 19/143
02:46:09 3/13
02:51:11 47/143
02:56:13 61/143
03:01:15 75/143
03:06:17 89/143
03:11:19 103/143
03:16:21 9/11
03:21:23 131/143
03:26:26 2/143
03:31:28 16/143
03:36:30 30/143
03:41:32 4/13
03:46:34 58/143
03:51:36 72/143
03:56:38 86/143
04:01:40 100/143
04:06:42 114/143
04:11:44 128/143
04:16:46 142/143
04:21:49 1/11
04:26:51 27/143
04:31:53 41/143
04:36:55 5/13
04:41:57 69/143
04:46:59 83/143
04:52:01 97/143
04:57:03 111/143
05:02:05 125/143
05:07:07 139/143
05:12:10 10/143
05:17:12 24/143
05:22:14 38/143
05:27:16 4/11
05:32:18 6/13
05:37:20 80/143
05:42:22 94/143
05:47:24 108/143
05:52:26 122/143
05:57:28 136/143
06:02:31 7/143
06:07:33 21/143
06:12:35 35/143
06:17:37 49/143
06:22:39 63/143
06:27:41 7/13
06:32:43 7/11
06:37:45 105/143
06:42:47 119/143
06:47:49 133/143
06:52:52 4/143
06:57:54 18/143
07:02:56 32/143
07:07:58 46/143
07:13:00 60/143
07:18:02 74/143
07:23:04 8/13
07:28:06 102/143
07:33:08 116/143
07:38:10 10/11
07:43:13 1/143
07:48:15 15/143
07:53:17 29/143
07:58:19 43/143
08:03:21 57/143
08:08:23 71/143
08:13:25 85/143
08:18:27 9/13
08:23:29 113/143
08:28:31 127/143
08:33:33 141/143
08:38:36 12/143
08:43:38 2/11
08:48:40 40/143
08:53:42 54/143
08:58:44 68/143
09:03:46 82/143
09:08:48 96/143
09:13:50 10/13
09:18:52 124/143
09:23:54 138/143
09:28:57 9/143
09:33:59 23/143
09:39:01 37/143
09:44:03 51/143
09:49:05 5/11
09:54:07 79/143
09:59:09 93/143
10:04:11 107/143
10:09:13 11/13
10:14:15 135/143
10:19:18 6/143
10:24:20 20/143
10:29:22 34/143
10:34:24 48/143
10:39:26 62/143
10:44:28 76/143
10:49:30 90/143
10:54:32 8/11
10:59:34 118/143
11:04:36 12/13
11:09:39 3/143
11:14:41 17/143
11:19:43 31/143
11:24:45 45/143
11:29:47 59/143
11:34:49 73/143
11:39:51 87/143
11:44:53 101/143
11:49:55 115/143
11:54:57 129/143
12:00:00 0

Process finished with exit code 0
