T|Uppsala
A|2|110926|110927|81360|81381|81378|81369|98777|81361|110934|110935|110936|98780|110938|98804|110940|110941|110942|110943|81374|110945|110946|110948|110949|110950|81384|110952|110953|110954|110955|110956|110957|110958|110947|110959|110960|98790|110962|110963|110964|110965|110966|98798|110968|110969|110970|110971|110972|110973|98795|110975|110976|110977|110978|98796|110980|110981|110982|110983|110984|110985|110986|110987|110988|110989|110990|110991|110994|110993|110996|110995|152234|98802
A|4|165645|159090|159091|165648|165649|159103|165651|165652|159106|159097|165655|165656|165657|165658|165659|165660|159102|159107|165663|159086|165665|159096|165667|165668|165669|165670|186755|165671|165672|165673|165674|165675|159110|165677|165678|159105|207059|165680|165681|165682|207063|165683|165684|165685|165686|165687|159114|159112|165690|165691|165692|178501|165693|165694|165695|165696|165697|165698
A|1150|513149|515627
A|532|406450|406451|406452|406453|352187|406455|406456|406457|406458|219300|219321|406461
A|68|358120|367133|356871|367135|367136|358116|367138|367139|358107|367141|356902|367143|356886|356881|356872|367147|367148|367149|367150|358119|367152|367153|367154|356888|356889|356880|367158|358102|367160|367161|367162
A|1140|480107|480129|507010|507011
A|1011|131509|131606|131655|132599|131653|132220|270174|132426|132419|270184|270185|270186|270187|270201|270216|270217|270218|270219|270238|270239|270240|270241|270264|270265|270266|270267|270268
A|3|53267|53268|53269|53270|53271|53272|53273|53274|53275|53276|53277|53278|53279|53280|53281|53282|53283|53284|53285|53286|53287|53288|53289|53290|53291|53292|53293|53294|53295|53296|53297|53298|53299|53300|53301|53302|53303|53304|53305|53306|53307|53308|53310|53311|53312|53313|53314|53315
A|1296|383394|383395
A|55|382644|382647|382646|382645|382642|382639|385048|385049|382636|385051|383013|382655|385054|382653|382662|382633|382634|382659|385060|385061|385062|383007|382652|385065|385066|383024|382648|385069|382998|382661|383011|385073|384096|385075|385076|382667|383017|385079|382666|382669|385082|385083|385084|382649
A|1|135099|135100|133581|132922|132910|132921|132915|132913|132932|132920|132929|135110|135111|135112|132916|135114|135115|135116|135117|132926|135119|133575|135121|135122|135123|135124|135125|135126|135127|135128|135129|135130|135131|135132|135133|133571|135135|135136|135137|135138|135139|135140|133579|135142|135143|135144|132927|135146|133576|135148|133583|133562|135151|135152|135153|135154|135156|135157|135158|133574|135160
A|524|395850|395851|395852
A|110|136073|136074|136075|136076|136077|136078|136079|136080|136081|136082|136083|136084|136085|136086|136087|136088|136089|136090|136091|136092|136093|136094|136095|136096|136097|136098|136099|136100|136101|136102|136103|136104|136105|136106|136108|136109|136110
A|1063|490652|490653|490654|490655|490656|490657|490658|490659|490660|490661
A|5|395756|395757|395758|395759|395760|395761|395762|395763|395764|395765|395766|395767|395768|395769|395770|395771|395772|395773|395774|395775|395776|395777|395778|395779|395780|395781|395782|395783|395784|395785|395786|395787|395788|395789|395790|395791|395792|395793|395794|395795|395796|395797|395798|395799|395800|395801|395802
B|2|S|Arbetarepartiet-Socialdemokraterna
B|4|C|Centerpartiet
B|1150|DD|Direktdemokraterna
B|532|FI|Feministiskt initiativ
B|68|KD|Kristdemokraterna
B|1140|KrVP|Kristna Värdepartiet
B|1011|LPo|Landsbygdspartiet Oberoende
B|3|L|Liberalerna (tidigare Folkpartiet)
B|1296|MED|Medborgerlig Samling
B|55|MP|Miljöpartiet de gröna
B|1|M|Moderaterna
B|524|PP|Piratpartiet
B|110|SD|Sverigedemokraterna
B|1063|SKP|Sveriges Kommunistiska Parti (SKP)
B|5|V|Vänsterpartiet
C|110926|42|M|Erik Pelling|42 år, Kommunalråd/Agronom, Ekeby
C|110927|34|K|Caroline Hoffstedt|34 år, Kommunalråd/Utredare, Luthagen
C|81360|37|M|Gustaf Lantz|37 år, Jurist, Uppsala
C|81381|36|K|Eva Christiernin|36 år, Lärare, Uppsala
C|81378|41|M|Peter Gustavsson|41 år, Strategisk rådgivare ABF, Uppsala
C|81369|21|K|Asal Gohari Moghadam|21 år, Student, Uppsala
C|98777|59|M|Ulrik Wärnsberg|59 år, Ekonom, Uppsala
C|81361|58|K|Inga-Lill Sjöblom|58 år, Boendeassistent, Vänge
C|110934|36|M|Klas-Herman Lundgren|36 år, Ingenjör, Centrum
C|110935|62|K|Agneta Gille|62 år, Barnskötare/Riksdagsledamot, Svartbäcken
C|110936|77|M|Carl Lindberg|77 år, F.d. lärare, Bälinge
C|98780|35|K|Ylva Stadell|35 år, Politisk sekreterare, Uppsala
C|110938|71|M|Björn Wall|71 år, Ekonomichef, Kapellgärdet
C|98804|65|K|Hilde Klasson|65 år, Personligt ombud, Uppsala
C|110940|27|M|Mattias Kristenson|27 år, Ombudsman, Fålhagen
C|110941|45|K|Loa Mothata|45 år, Myndighetshandläggare, Svartbäcken
C|110942|39|M|Rafael Waters|39 år, Professor, Valsätra
C|110943|38|K|Elnaz Alizadeh|38 år, Kommunikationschef, Kungsängen
C|81374|21|M|Pavlos Cavelier Bizas|21 år, Pressekreterare, Uppsala
C|110945|62|K|Agneta Erikson|62 år, Skolledare, Kungsängen
C|110946|54|M|Anders Grönvall|54 år, Politisk sekreterare, Vårdsätra
C|110948|44|K|My Lilja|44 år, Lektor i kriminologi, Centrum
C|110949|39|M|Erik Dagnesjö|39 år, Byggnadsarbetare, Luthagen
C|110950|40|K|Maria Gauffin Röjestål|40 år, Folkbildare/Pedagog, Storvreta
C|81384|47|M|Patrik Hedlund|47 år, Ingenjör, Uppsala
C|110952|65|K|Monica Östman|65 år, Arbetsmiljösamordnare, Kungsängen
C|110953|73|M|Staffan Yngve|73 år, Professor, Ekeby
C|110954|36|K|Dima Sarsour|36 år, Integrationssamordnare, Bergsbrunna
C|110955|65|M|Bedo Kaplan|65 år, Civilingenjör/Byggledare, Svartbäcken
C|110956|64|K|Kia (Kristina) Solid|64 år, Koordinator Uppsala kommun, Storvreta
C|110957|59|M|Peder Granath|59 år, Personligt ombud, Fålhagen
C|110958|30|K|Emmy Sjöblom|30 år, Ombudsman, Fålhagen
C|110947|43|M|Joakim Palestro|43 år, Fastighetschef, Fålhagen
C|110959|51|K|Maria Patel|51 år, Administratör, Rickomberga
C|110960|61|M|Bertil Brunn|61 år, Chaufför, Storvreta
C|98790|21|K|Sara Gille|21 år, Student, Uppsala
C|110962|36|M|Patrik Kjellin|36 år, Administratör, Salabacke
C|110963|50|K|Helena Wallström|50 år, Kommunikatör, Löten
C|110964|67|M|Martin Viredius|67 år, Pensionär, Fålhagen
C|110965|67|K|Kerstin Westman|67 år, Barnsköterska, Vattholma
C|110966|39|M|Gabriel Söderberg|39 år, Forskare/Ekonom, Kungsängen
C|98798|57|K|Karin de Afonseca|57 år, Enhetschef, Uppsala
C|110968|54|M|Stavros Giangozoglu|54 år, Egen företagare, Kvarngärdet
C|110969|61|K|Kia Alfredsson|61 år, Hushållslärare, Svartbäcken
C|110970|68|M|Kjell Engström|68 år, Konsult logistik, Gottsunda
C|110971|34|K|Kijan Karimi|34 år, Jurist, Centrum
C|110972|50|M|Petri Lähteenmäki|50 år, Yrkeslärare, Danmark-Funbo
C|110973|70|K|Eileen Rönnlund Holmgren|70 år, Socionom, Kapellgärdet
