T|Valdemarsvik
A|2|24963|24907|95221|95222|95255|95256|24906|95258|24572|95260|95261|95262|95276|95277|95278|95294|95295|95296|95297|97979|97980|97981|97982|97983|98146|98147|98148|98149|98150|98151|98152|98153|98154
A|4|12037|14332|71404|71405|71406|71407|12133|71409|71410|71411|71412|71413|71414|71415|71416|71417|71418|71419|71420|71421
A|68|251464|251465|251466|251467|251468|251469|251470|251471|251472|251473|251474|251475|251476
A|1011|131402|165757|165772|165821|131403|165942|165943|165944|165945|165946|439187
A|3|249292|283528|283529
A|55|415603|421700|421701
A|1|3325|12895|15361|15362|15363|15364|15365|15366|15367|15368|15369|15370|15371|15372|15373|15374|15375|15376|15377|15378
A|984|375983|375984|375985|375986|375987|375988|375989|375990|375991|375992|375993|375994|375995|375996|375997|375998|375999|376000|376001|376002|376003|376004|376005
A|110|82061|82062|82063|82065|82066|82067|82068|82069|82070|82071|107001
A|5|71567|75528|75523|118573
B|2|S|Arbetarepartiet-Socialdemokraterna
B|4|C|Centerpartiet
B|68|KD|Kristdemokraterna
B|1011|LPo|Landsbygdspartiet Oberoende
B|3|L|Liberalerna (tidigare Folkpartiet)
B|55|MP|Miljöpartiet de gröna
B|1|M|Moderaterna
B|984|NB|Nybyggarpartiet
B|110|SD|Sverigedemokraterna
B|5|V|Vänsterpartiet
C|24963|38|M|Ted Starkås|38 år, kommunalråd, Valdemarsvik
C|24907|47|K|Nhela Ali|47 år, modersmålslärare, Valdemarsvik
C|95221|69|M|Erland Olauson|69 år, jurist, Ringarum
C|95222|69|K|Ulla Wallering Fall|69 år, utredare, Ringarum
C|95255|66|M|Jan Karlsson|66 år, pensionär, Gusum
C|95256|57|K|Charlotte Kettle|57 år, sjuksköterska, Valdemarsvik
C|24906|59|M|Lars Beckman|59 år, svetsare, Valdemarsvik
C|95258|48|K|Malin Andersson|48 år, undersköterska, Valdemarsvik
C|24572|34|M|Mattias Geving|34 år, ekonom, Valdemarsvik
C|95260|63|K|Maud Carlsson|63 år, behandlingsassistent, Gusum
C|95261|50|M|Mikael Jonsson|50 år, utbildningssamordnare, Gusum
C|95262|41|K|Jessica Ek|41 år, undersköterska, Gusum
C|95276|72|M|Göran Segergren|72 år, rektor, Valdemarsvik
C|95277|34|K|Lise Geving|34 år, socionom, Gusum
C|95278|68|M|Örjan Carlsson|68 år, verktygsarbetare, Gusum
C|95294|70|K|Gunilla Strid Beckman|70 år, behandlingsassistent, Valdemarsvik
C|95295|72|M|Erik Lundberg|72 år, pensionär, Gryt
C|95296|58|K|Rosa Gonzales|58 år, undersköterska, Valdemarsvik
C|95297|40|M|Anders Petersson|40 år, underhållstekniker, Ringarum
C|97979|46|K|Evelyn Chaparro|46 år, kokerska, Valdemarsvik
C|97980|35|M|Marcus Johnsson|35 år, lagerarbetare, Valdemarsvik
C|97981|53|K|Helén Gustavsson|53 år, undersköterska, Ringarum
C|97982|51|M|Frederic Andersson|51 år, industriarbetare, Ringarum
C|97983|77|K|Inga Ericsson|77 år, pensionär, Gusum
C|98146|50|M|Johan Karlström|50 år, försäljare, Gusum
C|98147|43|K|Malin Stenberg|43 år, familjebehandlare, Valdemarsvik
C|98148|67|M|Håkan Nilsson|67 år, pensionär, Ringarum
C|98149|57|K|Lena Gustafsson|57 år, egen företagare, Skeppsgården
C|98150|62|M|Ingemar Gustafsson|62 år, egen företagare, Skeppsgården
C|98151|59|K|Majlis Paakkari|59 år, undersköterska, Valdemarsvik
C|98152|69|M|Lars Johnsson|69 år, pensionär, Gusum
C|98153|67|K|Ingrid Kindkvist|67 år, kontorist, Tryserum
C|98154|66|M|Ingemar Sandin|66 år, pensionär, Gusum
C|12037|30|K|Jenny Elander Ek|30 år, Jurist, Valdemarsvik
C|14332|52|M|Anders Carlsson|52 år, IT-bonde, Gryt
C|71404|47|K|Marie Lindh Eriksson|ingenjör, 47 år, Gryt
C|71405|59|M|Göran Karlsson|lantbrukare, 59 år, Tryserum
C|71406|31|K|Rosa Jonsson|student, 31 år, Valdemarsvik
C|71407|74|M|Torvald Karlsson|pensionär, 74 år, Gusum
C|12133|60|K|Carola Andersson|60 år, Specialistsjuksköterska, Ringarum
C|71409|24|M|Emil Carlsson|snickare, 24 år, Valdemarsvik
C|71410|59|K|Ingela Jansson|församlingspedagog, 58 år, Tryserum
