T|Sävsjö
A|2|35718|35719|35720|35721|35722|35723|35725|35726|35727|35728|35729|35730|35731|35732|35733|35734|35735|35736|35737|35738
A|4|127060|15848|127062|127063|127064|127065|127066|127067|127068|127069|127070|127071|127335|127336|127337|127338|127339|127340|127341|127342|127343|127344|127315|127316|127317|127319|127320|127321|127322|127323|127324
A|638|513953
A|68|78039|78040|78041|78042|78043|78044|78045|78046|78047|78048|78049|78050|78051|78052|78053|78054|78055|78056|78057|78058|78082|78083|78084|78085|78086|78087|78088|78089|78090|78091|78092|78093|78094|78095|78096|78097|78099|78103|78104|78106|78107|78108|78109|78111|78112|78113|78114
A|1011|185235|185236
A|3|204180|241309|241310|241311|241312
A|1|72624|72625|72626|72627|72628|72629|72630|72631|72632|72633|72634|72635|72959|72636|72637|72638|72639|72964|72965|72640|72967|72641|72642|72643|72971|72644|72645|72646|72975|72647|72648
A|110|122405|122406|122407|122408|122409|122410|122411|385306|515614
A|5|167477|167478|167479|167480
B|2|S|Arbetarepartiet-Socialdemokraterna
B|4|C|Centerpartiet
B|638|KLP|Klassiskt liberala partiet
B|68|KD|Kristdemokraterna
B|1011|LPo|Landsbygdspartiet Oberoende
B|3|L|Liberalerna (tidigare Folkpartiet)
B|1|M|Moderaterna
B|110|SD|Sverigedemokraterna
B|5|V|Vänsterpartiet
C|35718|44|K|Susanne Sjögren|44 år,Logistikansvarig, Sävsjö
C|35719|60|M|Göran Häll|60 år,Industriarbetare, Sävsjö
C|35720|64|K|Ingrid Ivarsson|64 år, Vårdare,Vrigstad
C|35721|72|M|Christer Sjögren|71 år,Ingenjör, Sävsjö
C|35722|56|K|Kerstin Hvirf|56 år,Undersköterska, Sävsjö
C|35723|72|K|Lena Persson|72 år,Pensionär, Vrigstad
C|35725|58|K|Eva Johansson|58 år, Kontorist,Sävsjö
C|35726|68|M|P-O Ivarsson|67 år,Vrigstad
C|35727|61|K|Majvor Skoog|60 år,Sjuksköterska, Sävsjö
C|35728|66|M|Sven Krafft|66 år,pensionär, Sävsjö
C|35729|65|K|Barbro Sand|65 år,Fastighetsassistent, Vrigstad
C|35730|57|M|Christer Pettersson|57 år,Målare, Sävsjö
C|35731|23|K|Elena Andreea Nicoara|23 år, Studerande,Stockaryd
C|35732|33|M|Victor Erliksson|33 år,Lärare, Sävsjö
C|35733|75|M|Mats Johansson|75 år,Pensionär, Sävsjö
C|35734|79|M|Bengt Persson|78 år,Pensionär, Vrigstad
C|35735|57|K|Lena Svensson Webb|57 år,Administratör, Sävsjö
C|35736|30|M|Eddie Windborg|30 år,Livsmedelsarbetare, Sävsjö
C|35737|55|K|Katarina Rydahl|56 år,Sjuksköterska, Sävsjö
C|35738|79|K|Laila Fransson|78 år,Pensionär, Sävsjö
C|127060|75|M|Sten-Åke Claesson|Skogsbrukare Solkaryd Sävsjö
C|15848|36|K|Matilda Henriksson|36,Landskapsarkitekt, Sävsjö
C|127062|68|M|Sven Andersson|Lantbrukare Kännestubba Sävsjö
C|127063|55|M|Conny Karlsson|Konstruktör Skepperstad Sävsjö
C|127064|38|K|Mirjam Johansson|Leg sjuksköterska Holmatorp 1 Sävsjö
C|127065|60|M|Leif Henriksson|Egenföretagare Björnskog Sävsjö
C|127066|61|M|Ingemar Ahnstedt|Småföretagare Häggatorp Sävsjö
C|127067|74|K|Maini Karlsson|Aktivitetsledare Nässja Sävsjö
C|127068|71|K|Gunilla Fransson|Pensionär Hjälmåkra Sävsjö
C|127069|48|K|Anna Carlsson|Företagsrådgivare Skärsjö Sävsjö
C|127070|55|M|Eije Johansson|Ekobonde Holmatorp 1 Sävsjö
C|127071|80|M|Berndt Svensson|Pensionär Kättorp 11 Sävsjö
C|127335|53|K|Anette Gustafsson|Personlig assistent, Rörvik
C|127336|63|M|Stig Hagelvik|Maskinförare Hetseryd Stockaryd
C|127337|63|M|Johan Brogård|Lantmästare Hylletofta Sävsjö
C|127338|61|M|Karl-Gustav Svensson|Agronom Sanden 1 Lammhult
C|127339|42|K|Ida Svensson|Lärare Mellangatan 16 Rörvik
C|127340|54|M|Christer Strömblad|Lantmästare Bjärkaryd Sävsjö
C|127341|45|M|Mikael Salomonsson|Konstruktör Hjälmseryd Stockaryd
C|127342|71|M|Tommy Trofast|Skogstekniker Hylletofta Sävsjö
C|127343|71|M|Lennart Olsson|Pensionär Sävsjövägen 45 Stockaryd
