T|Åstorp
A|2|94941|94942|44904|28273|94945|94946|94947|94948|44912|94950|94951|44919|94953|94954|28294|94956|94957|94958|94959|44901|94961|94962|94963|94964|94965|94966|94967|94968|94969|94970|94971|94972|94973|94974
A|4|80219|35323|80122|80123|80124|80125|80126|80127|80128|38896|80130|80131|80132|38901|80134|80135|80136|80137|80138|80139|80140|80141|80142|80143|80144|80145|80146|80147|80148|80149
A|68|59367|63201|63202|63203|63204|63205|63206|63207|63208|63209
A|3|55359|55360|55361|55362|55363|55364|55365|55366|55367|55368|55369
A|55|360699|236472|236473
A|1|63156|63157|63158|63159|63160|63161|63162|63163|63164|63165|63166|63167|63168|63169|63170|63171|63172|63173|63174|63175|63176|63177|63178|63179|63180|63181|63182|63183|63184|63185|63186|63187|63188|63189|63190|63191|63192|63193|63194|63195|63196|63197
A|110|127604|127605|127606|127607|127608|127609|275420|127610|127611|127612|127613|127614|127615|127616|127617|127618|127619|296608|296609
A|5|504809|504810|504811|504812
B|2|S|Arbetarepartiet-Socialdemokraterna
B|4|C|Centerpartiet
B|68|KD|Kristdemokraterna
B|3|L|Liberalerna (tidigare Folkpartiet)
B|55|MP|Miljöpartiet de gröna
B|1|M|Moderaterna
B|110|SD|Sverigedemokraterna
B|5|V|Vänsterpartiet
C|94941|51|K|Bitten Mårtensson|51 år, Linjeopratör, Åstorp
C|94942|56|M|Ronny Sandberg|56 år, Träarbetare, Nyvång
C|44904|42|K|Isabella Dzanko|Lärare, Åstorp
C|28273|55|M|Per-Arne Håkansson|Riksdagsledamot, Åstorp
C|94945|39|K|Tina Christensen|38 år, Badmästare, Kvidinge
C|94946|64|M|Lennart Fredriksson|64 år, ombudsman, Åstorp
C|94947|65|K|Jeanette Larsson|64 år, Handledare, Åstorp
C|94948|45|M|Othman Al Tawalbeh|46 år, Doktorand, Åstorp
C|44912|63|K|Gun Friberg|HR-specialist, Åstorp
C|94950|71|M|Reino Persson|71 år, Pensionär, Åstorp
C|94951|61|K|Lucy Glinka|60 år, Administration, Åstorp
C|44919|30|M|Menaid Nocic|Maskinist, Åstorp
C|94953|72|K|Ioana Cimpoeru|72 år, Pensionär, Åstorp
C|94954|68|M|Bengt Olle Andersson|68 år, Ingenjör, Åstorp
C|28294|20|K|Dafina Lugici|Studerande, Åstorp
C|94956|55|M|Mikael Mårtensson|54 år, Maskininställare, Åstorp
C|94957|42|K|Linda-Marie Camper|41 år, Lärare, Kvidinge
C|94958|40|M|Florian Bobocea|40 år, Tekniker, Åstorp
C|94959|62|K|Kerstin Andersson|61 år, Karttekniker, Åstorp
C|44901|42|M|Richard Ridwall|Träarbetare, Åstorp
C|94961|40|K|Jeannette Figueroa|39 år, Tandläkare, Åstorp
C|94962|67|M|Leif Persson|66 år, Pensionär, Åstorp
C|94963|60|K|Iby Todor|59 år, Sjukpensionär, Åstorp
C|94964|75|M|Ulf Cronbring|74 år, Pensionär, Hyllinge
C|94965|73|K|Gulli Pålsson|72 år, Pensionär, Kvidinge
C|94966|55|M|Christer Johansson|54 år, Lagerarbetare, Åstorp
C|94967|55|K|Ann-Margret Randau|54 år, ledsagare, Hyllinge
C|94968|75|M|Kjell Pålsson|75 år, Pensionär, Kvidinge
C|94969|60|M|Bo Bengtsson|59 år, Företagare, Åstorp
C|94970|73|M|Stig-Rune Thell|73 år, Pensionär, Kvidinge
C|94971|56|M|Håkan Abrahamsson|56 år, Byggtekniker, Åstorp
C|94972|72|M|Ben Ibou Sagna|71 år, Pensionär, Hyllinge
C|94973|45|M|Magnus Sundstad|44 år, Skyddsombud, Åstorp
C|94974|56|M|Thomas Fredriksson|55 år, Kontorist, Hyllinge
C|80219|66|M|Lars-Erik Petersson|Kreditchef, Åstorp
C|35323|36|M|Murat Özbalci|36, Egenföretagare
C|80122|50|K|Annica Vink|Blomsterhandlare, Åstorp
C|80123|32|K|Karin Larsson|Utvecklingsstrateg, Åstorp
C|80124|42|K|Ebba Kroon|Studie- och yrkesvägledare, Åstorp
C|80125|67|M|Bertil Wemmert|Verktygsmakare, Åstorp
C|80126|62|K|Ann-Louise Ekberg|Lantbrukare, Åstorp
C|80127|35|M|Ali Alabdallah|Kommunikatör, Åstorp
C|80128|47|K|Sofia Hultberg|Förskollärare, Åstorp
C|38896|61|M|Stig Rådström|Åstorp, Sjuksköterska, 61
