T|Göteborg
A|2|201221|201222|201223|200507|201225|201226|201227|201228|200506|201230|201231|200521|201233|201234|201235|201236|200512|201238|200520|201240|201241|201242|200514|201244|201245|201246|201247|201248|201249|201250|200518|201252|201253|201254|200508|200513|201257|201258|201259|201260|201261|201262|201263|200519|201265|200515|201267|201268|201269|201270|201271|201272|201273|201274|201275|201276|201277|201278|201279|201280|201281|201282|201283|201284|201285|201286|201287|201288|201289|201290|201291|202666
A|4|1888|36656|36657|1882|36659|36660|36661|36662|36663|36664|36666|36667|36668|36669|36670|36671|36672|6159|36674|36675|36676|36677|36678|36679|36680|36681|36682|36683|36684|36685|36686|36687|36688|36689
A|1297|281046|281047|281048|281049|281050|281051|281052|281053|281054|281055|281056|281057|281058|281059|281060|281061|281062|281063|281064|281065|281066|281067|281068|281069|281070|281071|281072|281073|281074
A|1150|365282|514817
A|1136|469730|469731|469732|469733
A|532|188461|219308|185389|188425|276374|276375|219336|219296|276415|276488|276489|276490|276491|219337|276555|276556|276557|276558|276559|276560|276561
A|638|515695
A|471|285720|285721|285722|285723|285724|285725|285726|285727|285728|285729|285746|285731|285732|285733|285734|285735|285736|285747|285738|285739|285740|285749|285748|285743|285744|285745
A|68|31814|199936|199941|198314|199947|202796|202797|199935|198303|198306|199940|199951|198301|202804|199944|198308|202807|199955|202809|198304|202811|198307|198316|202814|202815|199958
A|1140|480151|480113|507625|480104|507627
A|3|234031|234032|234033|234034|234035|234036|234037|234038|234039|234040|234041|234042|234043|233751|233767|234046|234047|234048|233764|234050|234051|234052|234053|233759|234055|234056|234057|234058|234059|234060|234061
A|1296|128550|128529|128568|257615|259798
A|55|306672|304610|306674|304591|304594|304615|304602|304601|304592|306681|304612|306683|74064|304600|304603|82462|306689|304596|304605|306692|306693|306694|306695|306696|306697|306698|152587|306700|306701|306702|304599|306704|82469|74084
A|1|864|865|866|867|868|869|870|871|872|873|874|875|876|877|878|879|880|881|882|883|884|885|886|887|255751|254013|255753|255754|255755|255756|242940|255758|255759|255760|255761|255762|255763|255764|255765|255766|242934|255768|255769|255770|255771|255772|242942|255774|255775|255776|255777|255778|255780|255781|255782|255783|255784|255786|255787|255788|255789
A|524|395217|395220|395221|395222|395223|395219
A|131|275100|275101|275102|275103|275104|275105|275106|275107|275108|275109|275110|275111|275112|312897|275113|275114|275115|275116|275117|275118
A|110|126755|126756|126757|126758|126759|126760|126761|126762|126763|126764|126765|126766|126767|126768|126769|126770|126771|126772|126773|126774|126775|126776|126777|126778|126779|126780|126781|126782|126783|126784|126785|126786|126787|126788|126790|126791|126792|126793|126794|126795|126796|126797|126798|126799|126800|126801|59828|126803|126804|126805|126807|126808|126809|126810|126811|6167
A|1138|188426|188427|188428|188429|188430|188431|188432|188433|188434|188435|188436|91951|188438|188439|188440|188441|188442|188443|188444|188445|188446|188447|188448|188449|188450|188451|188452|188453|188454|188455|188456|188457|188458|188459|188460
A|5|139240|139241|139242|139243|94380|139245|94367|139180|94370|94366|139250|139251|94372|139253|139254|94369|139165|139167|139177|139048|94375|94374|139278|94373|139280|94378|94382|139283|94379|139285|139175|94368|139319|139320|139321|139322|139179|139324|139325|139326|139327
B|2|S|Arbetarepartiet-Socialdemokraterna
B|4|C|Centerpartiet
B|1297|DEM|Demokraterna
B|1150|DD|Direktdemokraterna
B|1136|DjuP|Djurens parti
B|532|FI|Feministiskt initiativ
B|638|KLP|Klassiskt liberala partiet
B|471|K|Kommunistiska Partiet
B|68|KD|Kristdemokraterna
B|1140|KrVP|Kristna Värdepartiet
B|3|L|Liberalerna (tidigare Folkpartiet)
B|1296|MED|Medborgerlig Samling
B|55|MP|Miljöpartiet de gröna
B|1|M|Moderaterna
B|524|PP|Piratpartiet
B|131|RS|Rättvisepartiet Socialisterna
B|110|SD|Sverigedemokraterna
B|1138|VägV|Vägvalet
B|5|V|Vänsterpartiet
C|201221|53|K|Ann-Sofie Hermansson|53, fd. Industriarbetare
C|201222|55|M|Ali Reza Moeeni Taghavi|55, Processoperatör
C|201223|40|K|Mariya Voyvodova|40, Statsvetare
C|200507|50|M|Jonas Attenius|50, Byggnadssnickare
C|201225|57|K|Ingrid Andreae|57, Ombudsman LO
C|201226|38|M|Shahbaz Khan|38, Kommunalråd
C|201227|47|K|Marina Johansson|47, Barnskötare
C|201228|54|M|Aslan Akbas|54, Admin. koordinator
C|200506|51|K|Shadiye Heydari|51, Enhetschef
C|201230|51|M|Håkan Hallengren|51, Terminalarbetare
C|201231|32|K|Viktoria Tryggvadottir|32, Kommunikatör
C|200521|46|M|Patrick Gladh|46, Rektor
C|201233|67|K|Lena Landén Olsson|67, Utredare
C|201234|26|M|Admir Ramadanovic|26, Kredithandläggare
C|201235|64|K|Susanne Sillberg Ligander|64, HR-specialist
C|201236|26|M|Roshan Yigit|26, Juridikstudent
C|200512|40|K|Camilla Widman|40, Postarbetare
C|201238|33|M|Reger Shafik|33, Handläggare
C|200520|25|K|Amalia Rud Pedersen|25, Student
C|201240|55|M|Mats Arnsmar|55, Murare
C|201241|36|K|Sofi Bringsoniou|36, Förhandlare
C|201242|46|M|Robert Hammarstrand|46, Studerande
C|200514|40|K|Saida Hussein|40, Pedagog
C|201244|49|M|Magnus Kindmark|49, Elektriker
C|201245|23|K|Jennifer Cardell|23, Miljöekonom
C|201246|45|M|Staffan Lindström|45, Kommunikatör
C|201247|44|K|Anna Jivén|44, Miljövetare
C|201248|50|M|Anders Moberg|50, Fabriksarbetare
C|201249|45|K|Parisa Rezaeivar|45, Undersköterska
C|201250|21|M|David Akrad|21, Student
C|200518|50|K|Anneli Eriksson|50, Lagerarbetare
C|201252|45|M|Joakim Hagberg|45, Industriarbetare
C|201253|41|K|Claudia Pedrini|41, Undersköterska
C|201254|25|M|Alfred Johansson|25, Student
C|200508|48|K|Floid Gumbo Strandvik|48, Artist
C|200513|75|M|Sören Björkman|75, Pensionär
C|201257|65|K|UllaKarin Näslund|65, Barnskötare
C|201258|55|M|Bahman Esmail Nejad|55, Förskollärare
C|201259|18|K|Elsa Alm|18, Student
C|201260|37|M|Kristofer Bergman|37, Industriarbetare
C|201261|51|K|Annelie Schagerström|51, Handläggare
C|201262|55|M|Willy Kiela|55, Undersköterska
C|201263|49|K|Nina Forsberg|49, Livsmedelsarbetare
C|200519|31|M|Rikard Ledin da Rosa|31, Managementkonsult
C|201265|73|K|Anita Edman|73, Pensionär
C|200515|23|M|Jesper Eneroth|23, Student
C|201267|27|K|Luwam Ghebremichael|27, Myndighetsanställd
C|201268|61|M|Ronny Svensson|61, Ombudsman IF Metall
C|201269|22|K|Emelie Markianos|22, Studerande
C|201270|51|M|Claes Söderling|51, Brevbärare
C|201271|64|K|Radmila Stefanovic|64, Pensionär
C|201272|34|M|Gustav Öberg|34, Ombudsman HRF
C|201273|36|K|Gabriella Köster|36, Student
C|201274|24|M|Viktor Stenlöf|24, Ombudsman
C|201275|41|K|Sara Waldenfors|41, Präst
C|201276|38|M|Cristian Delgado Sandoval|38, Underhållstekniker
C|201277|62|K|Birgitta Adler|62, Processledare
C|201278|67|M|Ulf Johansson|67, Rörläggare
C|201279|60|K|Gladys Velarde|60, Stödassistent
C|201280|35|M|Christian Steingrüber|35, Managementkonsult
C|201281|27|K|Sofia Hvittfeldt|27, Fred-och utvecklingsvetare
C|201282|38|M|Parham Pour Bayramian|38, Ombudsman Byggnads
C|201283|46|K|Katarina Sjöberg|46, Butikssäljare
C|201284|73|M|Cenab Turunc|73, Socionom
C|201285|53|K|Gazali Sörensen|53, Fritidspedagog
C|201286|75|M|Ulf Ahlstedt|75, Advokat
C|201287|43|K|Dragana Todorovic|43, Svetsmontör
C|201288|33|M|Daniel Brandt|33, Projektledare
C|201289|50|K|Sara Teclezion Woldemariam|50, Boendepedagog
C|201290|53|M|Mattias Hallberg|53, SFI-lärare
C|201291|19|K|Hanna Moradi|19, Student
