T|Sunne
A|2|22207|74264|106720|106721|106722|106723|106960|106961|106962|106963|106964|107293|107294|107295|107296|107297|107298|107299|107300|107302|107301|107303|107304|107353|107354
A|4|27483|27484|27485|27486|27487|27488|27489|27490|27491|27492|27493|27494|27495|27496|27497|27498|27499|27500|27501|27502|27503|27504|27505|27506|27507
A|1113|406359|406360|406361|406362|406363|406364|406365|406366|406367|406368|406369|406370|406371|406372|406373|406374|406376
A|68|293315|294925
A|3|28190|31343|59189|59190|59191|59192|59193|59194|59195|59196|59197|59198|59199|59200|59201
A|55|433808|433809|433810
A|1|38346|38347|38348|632|38350|38351|38352|38353|38354|38355|38356|38357|38358|38359|38360|38361|38362|38363|38364|38365
A|110|115414|115878|115879|115880|115881|115882|115883|115884|115885|115886|115887|115888|512663|512728|489774|516019
A|5|107255|107256|107257|107258
B|2|S|Arbetarepartiet-Socialdemokraterna
B|4|C|Centerpartiet
B|1113|HS|Hela Sunne
B|68|KD|Kristdemokraterna
B|3|L|Liberalerna (tidigare Folkpartiet)
B|55|MP|Miljöpartiet de gröna
B|1|M|Moderaterna
B|110|SD|Sverigedemokraterna
B|5|V|Vänsterpartiet
C|22207|35|M|Tobias Eriksson|35 år, Sunne
C|74264|42|K|Linda Johansson|43 år, Sunne
C|106720|62|M|Gert Dahlberg|Hemmansägare, 63 år Sunne
C|106721|27|K|Sofie Setherberg|Försäkringshandläggare, 27 år, Lysvik
C|106722|65|M|Lars-Åke Holmqvist|66 år, Västra Ämtervik
C|106723|62|K|Agneta Carlsson|Affärsbiträde,62 år, Lysvik
C|106960|60|M|Lars-Olov Eriksson|Uppdragstagare, 60 år, Östra Ämtervik
C|106961|61|K|Kari Gjulem|Skötare, 61 år, Gräsmark
C|106962|68|M|Kjell-Owe Larsson|Pensionär, 67 år, Sunne
C|106963|44|K|Helena Anshammar|Byggingenjör, 44 år, Sunne
C|106964|62|M|Björn Wennerström|62 år, Västra Ämtervik
C|107293|59|K|Anette Sätherberg|HR-konsult, 59 år, Mallbacken
C|107294|21|M|Robin Larsson|Studerande, 21 år, Sunne
C|107295|68|K|Gerd Karlsson|68 år, Sunne
C|107296|77|M|Karl-Erik Skoog|77 år, Lysvik
C|107297|47|K|Maria Andersson|Undersköterska, 48 år, Östra Ämtervik
C|107298|63|M|Svante Magnusson|Torpare, 62 år, Rottneros
C|107299|51|K|Lena Halvarsson|Industriarbetare, 51 år, Sunne
C|107300|65|M|Conny Carlsson|Egen företagare, 66 år, Lysvik
C|107302|63|K|Lena Birkefjärd|Skötare, 63 år, Östra Ämtervik
C|107301|68|M|Jan-Erik Eriksson|Pensionär, 69 år, Lysvik
C|107303|63|M|Magnus Bergqvist|Fabriksarbetare, 62 år, Sunne
C|107304|70|M|Arne Persson|70 år, Sunne
C|107353|50|M|Dan Karlsson|Fabriksarbetare, 51 år, Rottneros
C|107354|68|M|Sven Oskarsson|69 år, Sunne
C|27483|60|K|Gunilla Ingemyr|Sunne, 60 år, Kommunalråd
C|27484|50|M|Freddy Kjellström|Gräsmark, 49 år, Statsvetare
C|27485|41|K|Sophie Janulf|Sunne, 41 år, Projektledare
C|27486|26|M|Nils Ahlqvist|26 år, Statsvetare, Östra Ämtervik
C|27487|54|M|Bengt Hedelin|54 år, Lantbrukare, Lysvik
C|27488|32|K|Nour Aghy|32 år, Projektledare, Sunne
C|27489|19|M|Emil Johansson|Sunne, 18 år, Lärarvikarie
C|27490|64|M|Ola Persson|V. Ämtervik, 64 år, Lantbrukare
C|27491|71|M|Karl-Johan Adolfsson|V. Ämtervik, 71 år, Skogsbonde
C|27492|70|K|Mirja Lundström|71 år, Pensionär, Sunne
C|27493|50|M|Svenne Andersson|50 år, Företagare, Östra Ämtervik
C|27494|75|M|Bengt Gullström|75 år, Pensionär, Stöpafors
C|27495|40|K|Theresa Falck|41 år, Sjuksköterska, Sunne
C|27496|66|K|Kjerstin Persson|66 år, Pensionär, Gräsmark
C|27497|55|M|Bengt Söderberg|55 år, Företagare, Östra Ämtervik
C|27498|30|K|Ida Nilsson|30 år, Tjänsteman, Västra Ämtervik
C|27499|60|M|Tomas Ögren|59 år, Lantbrukare, Västra Ämtervik
C|27500|53|M|Toleif Högberg|53 år, Biblioteksassistent, Sunne
C|27501|60|M|Mats Eriksson|60 år, Lantmästare, Gräsmark
