T|Östersund
A|1365|513996
A|1423|513996
A|2|72980|72981|7455|72983|8152|8160|8219|73666|16273|73668|73669|6465|73671|73672|16779|73673|8161|73750|8228|73752|73753|73754|8148|73756|96890|73757|73758|8147|73760|16258|73856|73857|73858|174058|84097|73859|7441|96901|8221|73861|160265|8134|73863|84103|73864|96908|8135|73866|73867|73868|8163|73870|73871|73872|73873|73874|74024|74025|74026|112124|74027|74028|74029|7454|96926|7448|74032|74033|8224|74035|74036
A|1420|513996
A|1372|513996
A|1375|513996
A|4|242657|242658|242659|8554|95768|242662|242663|242664|242665|242666|95776|242668|242669|242670|242671|242672|242673|242674|242675|242676|242677|242678|242679|242680|242681|242682|242683|242684|242685|242686|242687|242688|242689|242690|242691|242692|242693|242694|242695|242696|242697
A|1318|513996
A|1426|513996
A|1387|513996
A|1314|513996
A|1351|513996
A|1150|513996
A|29|513996
A|532|513716|513717|219327|513719|513996
A|1329|513996
A|1425|513996
A|1388|513996
A|1317|513996
A|1406|513996
A|1173|513996
A|1176|513996
A|1316|513996
A|1374|513996
A|1416|513996
A|638|513996
A|1405|513996
A|68|285758|205319|205314|205320|205316|209046|209047|205310|209049|205322
A|1140|513996
A|1011|513996
A|3|49200|223099|223100|223101|223102|223103|223104|223105|223106|223107|223108|223109|223110|223111|223112|223113|223114|223115|223116|223117|223118|223119|223120
A|518|513996
A|1345|513996
A|1330|513996
A|1296|513996
A|55|175342|385882|175344|385884|175339|175346|385887|175348|385889|385890|385891|175347|385893|385894|385895|175336|385897|175337|385899
A|1|39496|39489|39491|39498|39506|39510|39512|39490|39543|39494|39538|39519|253477|253478|39524|39539|39540|253482|39544|253484|39542|39528|39526|39546|39547|39545|39541|253492|253493|253494|253495|253496|253497|253498|253499|253500|253501|253502|253503|253504|253505|253506
A|1380|513996
A|1273|513996
A|1378|513996
A|1399|513996
A|1415|513996
A|1385|513996
A|1418|513996
A|1391|513996
A|1408|513996
A|1371|513996
A|524|513996
A|1347|513996
A|1389|513996
A|1202|513996
A|1409|513996
A|172|513996
A|1397|513996
A|54|513996
A|522|513996
A|1421|513996
A|1376|513996
A|1414|513996
A|1384|513996
A|110|106438|106439|106440|106442|106443|106444|106445|106446|150121
A|1396|513996
A|1063|513996
A|1400|513996
A|1328|513996
A|1309|513996
A|1386|513996
A|1422|513996
A|1332|513996
A|1349|513996
A|1417|513996
A|1412|513996
A|1138|513996
A|5|343740|253061|343742|252537|300379|253063|252084|343747|343748|252538|253074|300376|343752|343753|343754|343755|343756|343757|253060|343759|343760
A|1407|513996
A|1404|513996
B|1365||20% skattepartiet
B|1423||Allians för Sverige
B|2|S|Arbetarepartiet-Socialdemokraterna
B|1420||ASYL.NUPARTIET
B|1372||Basinkomstpartiet
B|1375||Bg-Demokrati
B|4|C|Centerpartiet
B|1318|CSIS|Common sense in Sweden
B|1426||Demokraterna i Göteborg
B|1387||Demokrati Sverige
B|1314||Demokratirörelsen
B|1351||Det nya partiet
B|1150|DD|Direktdemokraterna
B|29|EAP|Europeiska Arbetarpartiet-EAP
B|532|FI|Feministiskt initiativ
B|1329||Final Partiet
B|1425||FN Parti art: 27
B|1388||Folkhemmet Sverige
B|1317||Folkstyret
B|1406||Generation Utveckling
B|1173|Gup|Gula Partiet
B|1176|HumDe|Humandemokraterna
B|1316||iGov.Direct®
B|1374||Initiativet
B|1416|iP|iP-IDROTTSPARTIET-Rädda Stadshagens IP!
B|638|KLP|Klassiskt liberala partiet
B|1405||Kosmopolitiska Partiet
B|68|KD|Kristdemokraterna
B|1140|KrVP|Kristna Värdepartiet
B|1011|LPo|Landsbygdspartiet Oberoende
B|3|L|Liberalerna (tidigare Folkpartiet)
B|518||LOTTOKRATIN
B|1345||LÅNGEN&CO
B|1330||Medborgarresan
B|1296|MED|Medborgerlig Samling
B|55|MP|Miljöpartiet de gröna
B|1|M|Moderaterna
B|1380||Modern Sweden
B|1273|NMR|Nordiska motståndsrörelsen
B|1378||Norrlandspartiet
B|1399||NPP Nya Pensions Partiet
B|1415||numen kärlekspartiet
B|1385||NY REFORM
B|1418||Nya bjornska partiet
B|1391||nya Ny Demokrati
B|1408||Papepartiet
B|1371||Partiet Folkomröstning
B|524|PP|Piratpartiet
B|1347||POPULISTERNA
B|1389||Raggarpartiet
B|1202|RNP|Reformist Neutral Partiet
B|1409||Rosa Drömmar
B|172|SJP|Sjöbopartiet
B|1397||Skolpartiet Göteborg
B|54|SKÅ|SKÅNEPARTIET
B|522||Sociala Partiet (SP)
B|1421||SOCIALLIBERALERNA
B|1376||Spektral demokrati
B|1414||Svensk Jobbdemokrati
B|1384||Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP)
B|110|SD|Sverigedemokraterna
B|1396||Sverigepartiet
B|1063|SKP|Sveriges Kommunistiska Parti (SKP)
B|1400||Technopartiet
B|1328||Tryggare Sverige
B|1309|TRP|TRYGGHETSPARTIET
B|1386||Utveckling och Progressiv för Sverige partiet (U.P.S)
B|1422||VALDI2018
B|1332||Valsamverkanspartiet
B|1349|ViS|Vi Socialkonservativa
B|1417||Visiona
B|1412||Vårt land - Sverige
B|1138|VägV|Vägvalet
B|5|V|Vänsterpartiet
B|1407||Äkta demokrati
B|1404||Ändrings partiet revolution
C|513996|61|M|Karl Festin|
C|72980|62|K|AnnSofie Andersson|62, Kommunalråd, Lugnvik
C|72981|51|M|Anders Edvinsson|51, Kommunalråd, Marielund
C|7455|54|K|Maria Nerpin|54, Egen företagare, Östersund
